Generasi 1;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
10.800;3.248;6.465;94.356;0.187;0.187
3.400;20.186;20.265;81.846;0.059;0.246
18.800;4.858;18.729;91.413;0.325;0.571
6.200;76.262;6.091;90.005;0.107;0.678
18.600;32.515;18.454;81.994;0.322;1.000
Nilai fitness terbaik = 18.8;;;;;
Total fitness =  57.79999;;;;;
;;;;;
Generasi 2;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
25.200;3.248;18.454;81.994;0.087;0.087
4.600;3.248;18.454;81.994;0.016;0.103
5.200;3.248;18.454;81.994;0.018;0.121
6.600;3.248;18.454;81.994;0.023;0.143
4.800;3.248;18.454;81.994;0.017;0.160
4.400;3.248;18.454;81.994;0.015;0.175
6.800;4.858;18.729;94.356;0.023;0.198
2.600;4.858;18.729;94.356;0.009;0.207
3.800;3.248;60.074;81.994;0.013;0.220
24.200;4.858;18.729;94.356;0.083;0.304
6.200;76.262;6.091;81.846;0.021;0.325
3.000;3.248;18.454;81.994;0.010;0.335
3.000;4.858;18.729;94.356;0.010;0.346
11.200;4.858;5.513;94.356;0.039;0.384
4.200;3.248;18.454;81.994;0.014;0.399
3.200;3.248;18.454;81.994;0.011;0.410
7.200;3.248;18.454;81.994;0.025;0.435
3.400;20.186;20.265;90.005;0.012;0.446
6.200;76.262;6.091;81.846;0.021;0.468
5.000;3.248;18.454;81.994;0.017;0.485
5.600;3.248;18.454;78.977;0.019;0.504
6.600;32.515;6.465;91.413;0.023;0.527
3.000;3.248;18.454;81.994;0.010;0.537
5.600;20.186;20.265;90.005;0.019;0.556
8.200;4.858;18.729;94.356;0.028;0.585
6.200;76.262;6.091;81.846;0.021;0.606
7.200;4.858;18.729;94.356;0.025;0.631
14.600;20.186;20.265;90.005;0.050;0.681
20.400;20.186;20.265;90.005;0.070;0.751
6.200;76.262;6.091;81.846;0.021;0.773
9.200;4.858;18.729;94.356;0.032;0.804
20.400;20.186;20.265;90.005;0.070;0.875
3.200;4.858;18.729;94.356;0.011;0.886
6.200;76.262;6.091;81.846;0.021;0.907
13.200;32.515;6.465;91.413;0.045;0.952
13.800;4.858;18.729;94.356;0.048;1.000
Nilai fitness terbaik = 25.20002;;;;;
Total fitness =  290.4;;;;;
;;;;;
Generasi 3;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.000;3.248;18.729;81.994;0.006;0.006
18.400;3.248;18.729;81.846;0.027;0.033
26.600;4.858;18.729;94.356;0.039;0.071
6.000;51.775;18.454;81.994;0.009;0.080
8.200;4.858;18.729;94.356;0.012;0.092
2.600;4.858;18.729;94.356;0.004;0.096
13.200;4.858;18.729;81.994;0.019;0.115
6.200;76.262;6.091;81.846;0.009;0.124
16.800;20.186;20.265;91.413;0.024;0.148
11.200;3.248;6.091;94.356;0.016;0.165
23.800;4.858;18.454;91.413;0.035;0.199
7.400;4.858;18.729;78.977;0.011;0.210
6.600;3.248;18.454;95.880;0.010;0.219
8.800;4.858;18.454;94.356;0.013;0.232
5.600;3.248;20.265;81.994;0.008;0.240
16.000;4.858;20.265;90.005;0.023;0.264
24.600;3.248;18.454;94.356;0.036;0.299
10.400;3.248;6.091;94.356;0.015;0.315
5.800;3.248;28.764;94.356;0.008;0.323
13.200;20.186;6.465;94.356;0.019;0.342
7.400;3.248;18.729;81.846;0.011;0.353
26.800;4.858;18.729;78.977;0.039;0.392
22.200;4.858;18.729;90.005;0.032;0.424
67.400;4.858;18.729;94.356;0.098;0.522
13.200;4.858;18.729;90.005;0.019;0.541
4.800;3.248;6.091;94.356;0.007;0.548
11.200;3.248;6.091;94.356;0.016;0.565
6.000;3.248;6.091;18.638;0.009;0.573
5.600;3.248;6.091;94.356;0.008;0.581
5.800;3.248;20.265;81.846;0.008;0.590
3.200;20.186;18.454;81.994;0.005;0.594
25.800;4.858;18.454;67.056;0.038;0.632
4.800;4.858;18.729;90.005;0.007;0.639
8.400;4.858;18.454;94.356;0.012;0.651
5.200;3.248;6.091;92.236;0.008;0.659
44.000;4.858;18.729;78.977;0.064;0.723
5.800;3.248;6.091;94.356;0.008;0.731
24.800;4.858;6.091;90.005;0.036;0.767
5.800;3.248;18.729;81.846;0.008;0.776
9.400;4.858;6.091;32.320;0.014;0.789
4.600;3.248;6.091;94.356;0.007;0.796
6.600;20.186;6.465;94.356;0.010;0.806
11.400;3.248;6.091;93.533;0.017;0.822
3.600;4.858;18.729;78.977;0.005;0.827
5.000;3.248;18.454;81.994;0.007;0.835
4.600;3.248;5.513;90.005;0.007;0.841
7.200;4.858;18.729;78.977;0.010;0.852
29.200;4.858;7.368;94.356;0.042;0.894
12.200;3.248;6.091;94.356;0.018;0.912
11.000;3.248;6.091;94.356;0.016;0.928
11.400;3.713;6.091;81.846;0.017;0.944
7.400;4.858;18.454;94.356;0.011;0.955
4.400;3.248;6.091;94.356;0.006;0.962
26.400;4.858;18.729;78.977;0.038;1.000
Nilai fitness terbaik = 67.40012;;;;;
Total fitness =  688.0002;;;;;
;;;;;
Generasi 4;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.000;3.248;6.091;94.356;0.008;0.008
8.000;4.858;20.265;90.005;0.015;0.023
3.600;3.248;51.079;90.005;0.007;0.030
4.600;3.248;18.729;94.356;0.009;0.039
3.200;4.858;18.454;32.320;0.006;0.045
4.000;2.830;18.729;78.977;0.008;0.052
9.400;4.858;18.729;81.994;0.018;0.070
4.600;3.248;6.091;94.356;0.009;0.079
3.000;4.858;6.091;90.005;0.006;0.085
7.800;4.858;18.729;94.356;0.015;0.100
10.000;4.858;6.091;94.356;0.019;0.119
5.200;3.713;18.454;94.356;0.010;0.129
13.000;4.858;18.454;35.704;0.025;0.153
8.800;4.858;18.454;91.413;0.017;0.170
19.400;3.248;6.091;90.005;0.037;0.207
16.600;3.713;18.454;94.356;0.032;0.239
0.400;22.179;18.729;78.977;0.001;0.240
5.600;3.248;6.091;94.356;0.011;0.250
5.200;4.858;18.454;83.364;0.010;0.260
10.000;4.858;6.091;94.356;0.019;0.279
4.000;3.248;6.091;94.356;0.008;0.287
3.400;4.858;18.729;94.356;0.006;0.294
20.000;4.858;6.465;67.056;0.038;0.332
4.400;3.248;6.091;90.005;0.008;0.340
3.400;4.858;18.729;81.846;0.006;0.347
5.600;3.248;18.729;94.356;0.011;0.357
4.400;3.248;6.091;94.356;0.008;0.366
6.000;3.248;6.091;94.356;0.011;0.377
2.400;3.713;18.454;94.356;0.005;0.382
4.600;3.248;28.764;78.977;0.009;0.390
7.800;4.858;18.454;72.235;0.015;0.405
18.800;51.775;18.729;78.977;0.036;0.441
6.600;4.858;18.454;32.320;0.013;0.454
23.600;4.858;6.091;90.005;0.045;0.499
3.200;3.713;18.454;94.356;0.006;0.505
3.800;3.248;18.729;95.880;0.007;0.512
5.000;3.248;6.091;78.977;0.010;0.522
4.400;4.858;6.091;90.005;0.008;0.530
3.200;4.858;73.727;94.356;0.006;0.536
4.000;3.248;18.729;94.356;0.008;0.544
4.400;3.248;6.091;92.236;0.008;0.552
18.600;4.858;18.454;32.320;0.035;0.588
4.600;3.248;28.764;78.977;0.009;0.597
7.400;4.858;18.454;32.320;0.014;0.611
6.200;4.858;6.091;94.356;0.012;0.623
3.600;4.858;6.091;90.005;0.007;0.629
4.600;3.248;6.091;78.977;0.009;0.638
12.200;4.858;18.729;91.413;0.023;0.661
2.000;91.676;20.265;94.356;0.004;0.665
0.200;42.615;18.454;94.356;0.000;0.666
4.400;3.248;6.091;81.846;0.008;0.674
6.200;3.248;18.454;94.356;0.012;0.686
4.200;4.858;17.088;90.005;0.008;0.694
4.000;3.248;6.091;94.356;0.008;0.702
4.600;3.248;18.454;90.020;0.009;0.710
9.800;4.858;6.465;93.533;0.019;0.729
4.000;3.248;6.091;94.356;0.008;0.737
5.600;4.858;7.368;94.356;0.011;0.747
5.200;3.248;6.091;94.356;0.010;0.757
6.200;4.858;6.091;94.356;0.012;0.769
49.600;4.858;6.091;81.846;0.095;0.864
23.400;3.248;6.091;90.005;0.045;0.908
8.000;4.858;18.729;81.994;0.015;0.924
18.600;4.858;6.091;94.356;0.035;0.959
8.000;4.858;18.729;91.413;0.015;0.974
4.200;3.248;6.091;94.356;0.008;0.982
3.000;4.858;18.729;59.148;0.006;0.988
6.200;51.773;6.091;94.356;0.012;1.000
Nilai fitness terbaik = 49.60012;;;;;
Total fitness =  524.0002;;;;;
;;;;;
Generasi 5;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
3.800;3.248;6.091;94.356;0.005;0.005
7.400;4.858;28.764;94.356;0.010;0.016
6.400;4.858;18.454;94.356;0.009;0.025
3.400;4.858;6.091;94.356;0.005;0.029
6.200;3.248;18.729;32.320;0.009;0.038
11.800;3.248;6.091;94.356;0.016;0.054
5.600;3.248;6.091;94.356;0.008;0.062
3.800;4.858;18.454;94.356;0.005;0.068
3.600;3.248;6.091;32.320;0.005;0.073
8.400;4.858;6.091;35.704;0.012;0.084
6.200;3.248;6.091;94.356;0.009;0.093
7.200;4.858;18.729;62.053;0.010;0.103
3.600;3.248;6.091;26.852;0.005;0.108
23.800;3.248;18.729;32.320;0.033;0.141
7.600;4.858;18.729;91.413;0.011;0.152
9.200;4.858;18.454;81.846;0.013;0.165
5.800;3.248;11.105;94.356;0.008;0.173
