Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
16.600;34.999;48.479;93.304;0.070;0.070
20.000;87.372;19.874;86.659;0.084;0.153
8.000;36.894;20.067;90.674;0.034;0.187
71.000;6.728;70.976;56.704;0.297;0.484
108.800;3.474;15.181;41.487;0.456;0.940
14.400;70.457;7.051;36.920;0.060;1.000
Nilai fitness terbaik = 108.7995
Total fitness =  238.7995

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
48.600;10.112;48.479;86.659;0.082;0.082
7.200;15.924;7.051;41.487;0.012;0.095
15.200;6.728;15.181;93.304;0.026;0.120
50.400;3.474;7.051;58.567;0.085;0.206
79.200;3.474;7.051;41.487;0.134;0.340
16.200;42.301;48.479;86.659;0.027;0.368
60.800;6.728;15.181;93.304;0.103;0.471
70.400;6.728;15.181;93.304;0.119;0.590
43.200;3.474;7.051;41.487;0.073;0.664
60.800;6.728;15.181;93.304;0.103;0.767
20.200;87.372;20.067;90.674;0.034;0.801
48.600;36.894;48.479;86.659;0.082;0.883
57.600;3.474;7.051;41.487;0.098;0.981
11.200;36.894;48.479;86.659;0.019;1.000
Nilai fitness terbaik = 79.19994
Total fitness =  589.601

Generasi 3
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
64.800;3.474;7.051;41.487;0.039;0.039
7.200;36.894;7.051;41.487;0.004;0.044
7.200;10.112;7.051;93.304;0.004;0.048
26.200;6.728;20.067;90.674;0.016;0.064
15.200;6.728;15.181;93.304;0.009;0.073
20.600;35.573;48.479;86.659;0.012;0.085
15.200;6.728;15.181;93.304;0.009;0.095
72.000;3.474;7.051;41.487;0.044;0.138
7.200;36.894;7.051;41.487;0.004;0.142
45.600;6.728;15.181;93.304;0.028;0.170
72.000;3.474;7.051;41.487;0.044;0.214
30.400;6.728;15.181;93.304;0.018;0.232
14.400;36.894;7.051;41.487;0.009;0.241
121.599;3.474;15.181;86.659;0.074;0.314
64.800;3.474;7.051;41.487;0.039;0.353
7.200;36.894;7.051;41.487;0.004;0.358
45.600;6.728;15.181;93.304;0.028;0.385
15.200;87.372;15.181;86.659;0.009;0.395
64.800;3.474;7.051;41.487;0.039;0.434
15.200;6.728;15.181;93.304;0.009;0.443
64.800;3.474;7.051;41.487;0.039;0.482
57.600;3.474;7.051;41.487;0.035;0.517
50.400;3.474;7.051;41.487;0.030;0.547
15.200;36.894;15.181;93.304;0.009;0.557
72.000;3.474;7.051;41.487;0.044;0.600
20.200;6.728;20.067;90.674;0.012;0.612
7.200;98.251;7.051;41.487;0.004;0.617
17.800;87.372;17.754;86.659;0.011;0.628
15.200;87.372;15.181;86.659;0.009;0.637
60.800;3.474;15.181;86.659;0.037;0.674
60.600;6.728;20.067;90.674;0.037;0.710
64.800;3.474;7.051;41.487;0.039;0.749
23.800;6.728;15.181;93.304;0.014;0.764
121.599;3.474;15.181;86.659;0.074;0.837
48.600;6.728;48.479;93.304;0.029;0.867
30.400;6.728;15.181;90.301;0.018;0.885
6.600;6.728;48.479;93.304;0.004;0.889
15.200;36.894;15.181;93.304;0.009;0.898
15.200;45.950;15.181;93.304;0.009;0.907
44.800;6.728;20.067;90.674;0.027;0.935
50.400;3.474;7.051;41.487;0.030;0.965
2.200;6.728;48.479;93.304;0.001;0.966
40.400;6.728;20.067;90.674;0.024;0.991
15.200;36.894;15.181;93.304;0.009;1.000
Nilai fitness terbaik = 121.5993
Total fitness =  1653.401

Generasi 4
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
43.200;3.474;7.051;41.487;0.029;0.029
21.600;6.728;7.051;41.487;0.015;0.044
21.600;3.474;7.051;41.487;0.015;0.058
21.600;6.728;7.051;41.487;0.015;0.073
14.400;6.728;7.051;41.487;0.010;0.083
