Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.01174496;29.961;39.761;67.260
0.0192953;37.308;9.047;41.885
0.0113255;75.178;5.347;93.036
0.01006711;70.060;17.777;80.844
0.01342282;18.264;66.360;89.363
0.01048658;2.487;8.900;16.250
0.006711411;13.354;21.151;29.152
0.004194631;8.216;12.421;35.916
0.02474831;50.327;35.091;52.150
0.03397649;14.607;16.097;83.057
0.02978186;11.844;14.013;53.900
0.0293624;6.319;6.899;68.996
0.006291947;88.088;8.011;80.225
0.008389263;3.394;10.578;51.396
0.02348992;72.865;11.037;92.828
0.003355705;7.237;39.344;89.000
0.007550337;12.491;10.909;64.128
0.006711411;25.561;16.632;68.493
0.002097315;5.383;86.876;62.033
0.01174496;94.791;5.485;27.085
0.02474831;7.643;9.737;88.524
0.01090604;4.739;6.526;71.729
0.006291947;19.157;25.328;58.460
0.01258389;51.630;71.216;50.971
0.04865776;19.304;23.110;97.048
0.008808726;33.488;9.781;52.029
0.004614094;11.549;56.145;30.031
0.02013422;9.485;52.718;71.078
0.01048658;33.487;18.903;70.177
0.006291947;5.929;57.855;92.429
0.01216443;16.358;51.504;42.925
0.0113255;85.820;5.350;45.705
0.05033562;6.159;29.146;95.763
0.005453021;12.631;8.744;85.242
0.01971476;17.306;13.161;79.914
0.01803691;44.906;21.100;69.453
0.01174496;6.656;1.216;33.138
0.03607382;16.630;17.152;89.138
0.01510067;80.541;10.190;83.248
0.007130874;22.507;14.272;64.235
0.01006711;4.147;31.915;87.945
0.007550337;41.598;1.602;97.102
0.003355705;4.008;59.397;94.188
0.009647652;38.253;28.580;86.958
0.02978186;45.877;14.056;87.172
0.009228189;3.910;57.800;88.551
0.008389263;18.614;3.839;52.456
0.01174496;5.926;64.579;97.900
0.03607382;55.467;11.331;82.196
0.02348992;9.106;11.184;40.784
0.005453021;2.408;49.195;76.629
0.04026846;9.185;6.210;40.355
0.003355705;47.779;28.249;71.303
0.003775168;3.291;52.294;82.374
0.004194631;3.448;12.261;75.270
0.005033558;13.551;1.163;45.279
0.01090604;10.225;2.459;65.510
0.01174496;33.063;97.793;92.790
0.005453021;5.319;85.069;40.565
0.01342282;26.725;47.434;73.362
0.0008389262;1.259;35.222;64.866
0.06627528;71.049;31.467;83.344
0.01090604;64.857;5.011;36.824
0.02139261;36.334;29.614;99.622
0.0004194631;8.354;39.616;44.427
0.01677852;8.753;20.724;72.970
0.007550337;4.296;1.031;85.141
0.007550337;6.879;16.343;70.904
Best fitness score = 0.06627528
Fitness sum =  476.8

Generasi 2
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.0005178128;47.485;21.151;95.763
0.002278377;14.607;29.146;87.172
0.0002071251;13.354;9.737;20.610
0.001760564;3.448;16.097;90.049
0.0006213754;14.607;29.146;87.172
0.0003106877;14.607;29.146;87.172
0.005074564;9.485;47.434;83.057
0.0006213754;19.304;1.163;85.242
0.001449876;14.607;11.198;87.172
0.001864127;19.304;1.163;45.747
0.003624689;3.910;21.151;78.455
0.001035626;3.910;21.151;95.763
0.001760564;3.291;24.090;58.460
0.001346314;6.879;2.374;68.996
0.001346314;29.961;2.459;29.152
0.001242751;3.448;16.097;81.364
0.002071252;85.820;3.839;67.260
0.004867439;22.207;14.272;86.958
0.002899752;5.929;14.272;86.958
0.002899752;3.448;16.097;97.048
0.01180614;12.631;11.331;96.526
0.006835126;13.354;9.737;71.729
0.002278377;3.448;16.139;97.048
0.001242751;6.319;51.504;97.900
0.002278377;6.656;2.181;99.622
0.002589064;6.879;17.152;68.996
0.002692627;37.362;2.459;29.152
0.004246064;6.159;17.777;62.033
0.001553439;8.207;10.909;64.235
0.006835126;25.561;6.526;40.669
